gene._id,gene.bnumber,gene.name
RDBECOLIGNC00419,b0962,helD
RDBECOLIGNC03366,b0963,mgsA
RDBECOLIGNC03370,b0967,rlmI
RDBECOLIGNC03371,b0968,yccX
RDBECOLIGNC02410,b0969,tusE
RDBECOLIGNC01755,b0981,etk
RDBECOLIGNC03372,b0982,etp
RDBECOLIGNC03373,b0983,gfcE
RDBECOLIGNC03374,b0984,gfcD
RDBECOLIGNC03375,b0985,gfcC
RDBECOLIGNC03376,b0986,gfcB
RDBECOLIGNC03378,b0988,insB4
RDBECOLIGNC03379,b0989,cspH
RDBECOLIGNC03380,b0990,cspG
RDBECOLIGNC03381,b0991,ymcE
RDBECOLIGNC03383,b0993,torS
RDBECOLIGNC02080,b1001,yccE
RDBECOLIGNC03400,b1026,insF4
RDBECOLIGNC03401,b1027,insE4
RDBECOLIGNC03402,b1028,ymdE
RDBECOLIGNC03403,b1029,ycdU
RDBECOLIGNC03404,b1033,ghrA
RDBECOLIGNC03405,b1034,ycdX
RDBECOLIGNC03406,b1035,ycdY
RDBECOLIGNC03417,b1047,opgC
RDBECOLIGNC01812,b1048,opgG
RDBECOLIGNC01813,b1049,opgH
RDBECOLIGNC02349,b1050,yceK
RDBECOLIGNC01308,b1051,msyB
RDBECOLIGNC01749,b1056,yceI
RDBECOLIGNC03419,b1057,yceJ
RDBECOLIGNC03420,b1058,yceO
RDBECOLIGNC03421,b1059,solA
RDBECOLIGNC03424,b1065,mdtH
RDBECOLIGNC00841,b1066,rimJ
RDBECOLIGNC01490,b1067,yceH
RDBECOLIGNC03425,b1068,yceM
RDBECOLIGNC03426,b1069,murJ
RDBECOLIGNC01890,b1082,flgK
RDBECOLIGNC00849,b1084,rne
RDBECOLIGNC03428,b1085,yceQ
RDBECOLIGNC01101,b1086,rluC
RDBECOLIGNC01401,b1087,yceF
RDBECOLIGNC01449,b1097,mltG
RDBECOLIGNC02176,b1098,tmk
RDBECOLIGNC01455,b1099,holB
RDBECOLIGNC02177,b1100,ycfH
RDBECOLIGNC03429,b1104,ycfL
RDBECOLIGNC03430,b1105,lpoB
RDBECOLIGNC03431,b1106,thiK
RDBECOLIGNC03432,b1107,nagZ
RDBECOLIGNC03433,b1108,ycfP
RDBECOLIGNC01565,b1114,mfd
RDBECOLIGNC03437,b1115,ycfT
RDBECOLIGNC03439,b1117,lolD
RDBECOLIGNC03440,b1118,lolE
RDBECOLIGNC03441,b1119,nagK
RDBECOLIGNC03442,b1120,cobB
RDBECOLIGNC03443,b1121,ycfZ
RDBECOLIGNC03444,b1122,ymfA
RDBECOLIGNC00742,b1123,potD
RDBECOLIGNC00741,b1124,potC
RDBECOLIGNC00740,b1125,potB
RDBECOLIGNC00739,b1126,potA
RDBECOLIGNC01393,b1128,roxA
RDBECOLIGNC03445,b1134,nudJ
RDBECOLIGNC03447,b1137,ymfD
RDBECOLIGNC03448,b1138,ymfE
RDBECOLIGNC00527,b1139,lit
RDBECOLIGNC02233,b1140,intE
RDBECOLIGNC03449,b1141,xisE
RDBECOLIGNC03450,b1142,ymfH
